지역,중분류,기준년월,성별,연령대별,카드이용금액계,카드이용건수계
청양군,일식/중식/양식,201702,F,60대후,114240,9.52
청양군,일식/중식/양식,201710,F,70대이상,290640,10.38
금산군,일식/중식/양식,201701,F,70대이상,575960,19.36
청양군,일식/중식/양식,201705,F,60대후,886050,19.8
청양군,제과/커피/패스트푸드,201705,M,70대이상,229185,19.8
청양군,일식/중식/양식,201706,F,60대후,516405,20.76
청양군,한식,201702,F,20대초,1029588,33.32
계룡시,일식/중식/양식,201702,F,70대이상,808248,33.32
청양군,일식/중식/양식,201705,F,60대초,737550,34.65
부여군,제과/커피/패스트푸드,201702,F,60대후,627939.2,42.84
태안군,일식/중식/양식,201701,F,60대후,1643180,43.56
서천군,일식/중식/양식,201701,F,70대이상,2541000,43.56
청양군,일식/중식/양식,201709,F,60대후,1179900,46.17
청양군,제과/커피/패스트푸드,201703,M,60대초,294630,48.3
청양군,한식,201711,F,70대이상,1538680,53.8
태안군,일식/중식/양식,201709,F,70대이상,2428542,56.43
논산시,일식/중식/양식,201702,F,70대이상,1715504,57.12
청양군,제과/커피/패스트푸드,201703,F,60대초,761884.2,57.96
서천군,제과/커피/패스트푸드,201702,F,60대초,596904,61.88
청양군,일식/중식/양식,201710,F,20대후,1453200,62.28
부여군,일식/중식/양식,201704,F,20대초,1531429,63.83
청양군,일식/중식/양식,201707,M,70대이상,2614780,63.84
서천군,제과/커피/패스트푸드,201710,M,70대이상,982467,67.47
청양군,일식/중식/양식,201707,M,60대후,1564080,69.16
서천군,제과/커피/패스트푸드,201707,M,70대이상,827526,69.16
부여군,일식/중식/양식,201702,M,20대초,1246168,71.4
태안군,일식/중식/양식,201702,F,70대이상,2161040,71.4
청양군,일식/중식/양식,201706,F,30대후,2047455,72.66
서천군,일식/중식/양식,201704,F,20대초,2793790,73.65
부여군,일식/중식/양식,201705,M,60대후,1169190,74.25
서천군,일식/중식/양식,201710,F,70대이상,3949590,77.85
부여군,일식/중식/양식,201705,M,70대이상,2435400,79.2
금산군,일식/중식/양식,201707,M,70대이상,1920520,79.8
금산군,일식/중식/양식,201702,F,20대초,1646960,85.68
공주시,일식/중식/양식,201701,F,70대이상,2190100,87.12
계룡시,일식/중식/양식,201710,M,60대후,2480820,88.23
금산군,제과/커피/패스트푸드,201705,M,60대후,1390950,94.05
부여군,제과/커피/패스트푸드,201702,M,60대후,1281868,95.2
부여군,제과/커피/패스트푸드,201712,M,70대이상,1174252.3,95.94
청양군,일식/중식/양식,201711,F,40대초,3830560,96.84
홍성군,제과/커피/패스트푸드,201702,F,70대이상,1319519.6,99.96
홍성군,제과/커피/패스트푸드,201701,M,70대이상,1642454,121
청양군,한식,201707,F,20대초,2840880,133
서산시,제과/커피/패스트푸드,201702,F,70대이상,4871717.2,357
청양군,제과/커피/패스트푸드,201702,F,30대후,4962490.4,357
논산시,일식/중식/양식,201701,M,50대후,42635560,1210
부여군,한식,201703,F,30대후,53275383,1449
예산군,제과/커피/패스트푸드,201701,F,30대후,24313135,1815
공주시,일식/중식/양식,201705,M,20대후,54237150,2376
예산군,한식,201707,F,50대초,181774558,5852
논산시,제과/커피/패스트푸드,201710,M,30대후,74754113.1,6228
청양군,일식/중식/양식,201708,F,30대후,3003455,101.27
보령시,일식/중식/양식,201701,F,60대후,5197676,101.64
부여군,일식/중식/양식,201711,F,60대초,3113406,102.22
서천군,일식/중식/양식,201710,F,60대후,6518640,103.8
태안군,일식/중식/양식,201702,M,70대이상,3829420,104.72
청양군,일식/중식/양식,201703,F,30대후,2431905,106.26
청양군,일식/중식/양식,201703,M,60대후,2328060,111.09
부여군,일식/중식/양식,201708,F,50대후,3119116,111.93
예산군,제과/커피/패스트푸드,201709,F,70대이상,2310039,117.99
청양군,제과/커피/패스트푸드,201711,M,60대초,1327784,118.36
청양군,일식/중식/양식,201711,M,20대초,1813060,123.74
청양군,일식/중식/양식,201707,M,60대초,2476460,127.68
보령시,일식/중식/양식,201711,F,60대후,14588946,129.12
태안군,일식/중식/양식,201703,F,60대초,4288557,130.41
태안군,제과/커피/패스트푸드,201703,F,70대이상,1418329.5,130.41
태안군,일식/중식/양식,201701,M,70대이상,5566000,130.68
부여군,일식/중식/양식,201704,F,50대초,4144040,132.57
홍성군,일식/중식/양식,201706,M,70대이상,7688466,134.94
논산시,일식/중식/양식,201707,F,60대후,3190404,143.64
청양군,일식/중식/양식,201712,F,30대후,4176055,143.91
청양군,일식/중식/양식,201709,M,20대초,2547045,148.77
청양군,일식/중식/양식,201701,M,70대이상,2410320,150.04
공주시,일식/중식/양식,201706,F,60대후,4689165,150.51
부여군,일식/중식/양식,201705,F,50대초,5505390,153.45
청양군,일식/중식/양식,201708,M,20대초,4109430,159.9
계룡시,한식,201704,F,70대이상,4430685.8,162.03
금산군,일식/중식/양식,201701,M,60대후,3342020,164.56
청양군,일식/중식/양식,201702,M,30대초,5685820,166.6
청양군,한식,201701,F,60대초,7066400,169.4
서천군,일식/중식/양식,201712,F,20대후,5026190,170.56
홍성군,일식/중식/양식,201701,F,60대후,13849660,174.24
보령시,제과/커피/패스트푸드,201701,F,60대후,2176548,174.24
청양군,제과/커피/패스트푸드,201701,F,50대후,5774894.4,174.24
논산시,제과/커피/패스트푸드,201709,M,70대이상,2282337,174.42
공주시,일식/중식/양식,201708,M,70대이상,4045470,175.89
부여군,일식/중식/양식,201710,F,50대초,4604049,176.46
서천군,일식/중식/양식,201706,M,60대후,9559980,176.46
공주시,제과/커피/패스트푸드,201701,F,70대이상,2530206.8,179.08
보령시,제과/커피/패스트푸드,201701,F,70대이상,2542548.8,179.08
서산시,일식/중식/양식,201711,F,70대이상,7842964,182.92
청양군,일식/중식/양식,201705,M,30대초,4103550,188.1
공주시,일식/중식/양식,201702,M,70대이상,5810056,190.4
청양군,한식,201707,M,20대초,4252808,191.52
보령시,일식/중식/양식,201703,F,60대후,12111225,193.2
부여군,일식/중식/양식,201703,F,40대후,5734272.6,198.03
논산시,제과/커피/패스트푸드,201711,F,60대후,1831890,199.06
청양군,일식/중식/양식,201710,M,30대초,5441715,202.41
공주시,일식/중식/양식,201710,M,70대이상,10309935,202.41
청양군,한식,201712,M,70대이상,8405410,202.54
논산시,제과/커피/패스트푸드,201701,M,70대이상,2227271.2,208.12
태안군,일식/중식/양식,201709,F,20대초,5598882,210.33
부여군,일식/중식/양식,201710,F,20대후,6246165,212.79
공주시,제과/커피/패스트푸드,201707,F,70대이상,3307683.4,212.8
청양군,제과/커피/패스트푸드,201707,F,50대후,4442838.4,212.8
청양군,한식,201712,F,60대초,9151721.93,213.2
태안군,제과/커피/패스트푸드,201708,M,60대후,2758275,218.53
청양군,일식/중식/양식,201709,M,50대후,4752945,220.59
청양군,한식,201701,F,20대후,8849456,222.64
부여군,일식/중식/양식,201701,F,30대후,9140340,222.64
공주시,제과/커피/패스트푸드,201710,F,70대이상,2015380.8,223.17
청양군,한식,201702,F,20대후,9538088,223.72
논산시,제과/커피/패스트푸드,201708,F,70대이상,2559945.7,223.86
청양군,한식,201703,M,20대초,4866225,227.01
