광역시도,기준년월,카드이용금액계,카드이용건수계
강원,201701,211460806790.4,7661196.78
강원,201707,267067135098.16,9821078.6
강원,201807,282340486344.84,10388758.38
강원,201706,235819843952.0,9121877.6
경기,201708,1970644100612.5,90936069.7
경기,201805,2096779269922.4,94812213.15
경기,201808,2095689705269.61,96096423.87
경기,201702,1553324197226.94,67260970.62
경기,201701,1584772642166.4,69265259.2
경기,201806,1997191920927.8,92246097.2
경기,201709,1937361122020.7,91457667.59
경기,201803,1998263060916.78,90109791.15
경남,201805,362822160574.56,13120890.96
경남,201702,275224794735.0,9351815.0
경북,201805,270096861629.24,10701028.44
경북,201803,240099446094.28,9404151.88
경북,201707,252323129903.04,9630104.4
경북,201804,247660154903.2,9943897.6
경북,201701,209970755696.16,7526688.66
경북,201806,248555356576.8,10072166.0
광주,201703,160800843834.56,6221330.74
광주,201711,166455738686.46,6598511.58
광주,201708,176883378864.42,7166492.41
광주,201702,138361394247.68,5079065.6
대구,201709,241068929634.8,10369348.95
대구,201803,236061168213.55,9967308.8
대구,201701,217572469374.96,8402641.29
대구,201704,227793583892.85,9616139.55
대전,201709,235910041971.2,11235778.9
대전,201802,197105625768.36,8429470.56
대전,201712,260598063073.08,10524186.8
대전,201808,230564737141.94,10581444.56
부산,201703,383427505394.88,14807830.68
부산,201806,408676384071.02,16992705.6
부산,201707,438314491099.44,17279385.12
부산,201706,402365655330.88,15958522.88
부산,201807,429363970902.24,17774712.78
부산,201705,431731278093.5,16859073.0
서울,201709,1984618519860.04,103896817.78
서울,201701,1836174252343.77,87821965.62
서울,201706,1949936524752.32,102040515.2
서울,201804,2051726989296.12,105196702.56
서울,201704,1910499253979.61,99134781.27
울산,201708,149492514205.19,5579569.57
울산,201806,143427686784.38,5333124.61
울산,201802,128240689718.4,4427718.4
울산,201704,136709673075.36,4924729.92
인천,201703,378677627403.21,17070485.4
인천,201803,417779853664.14,18714560.76
인천,201802,355171025765.43,15412897.96
인천,201704,374910413607.8,17198293.88
인천,201706,387720998219.94,18029951.94
전남,201711,161354749842.12,5336859.0
전남,201806,175492368860.16,6050774.4
전남,201706,157815856004.4,5344614.0
전남,201707,177676834204.2,5878407.9
전남,201801,156146061210.12,5167841.76
전남,201805,195031506607.21,6548677.85
전북,201804,179635092706.05,7160727.75
전북,201710,186397249751.0,7467929.58
전북,201707,180601250407.2,7049339.2
전북,201709,173663854990.05,7034715.0
전북,201706,167132263811.94,6715538.22
전북,201802,156185023764.18,5939887.86
제주,201804,146776704135.77,4516048.41
제주,201706,145464399527.7,4493077.37
제주,201806,149852727620.72,4753230.0
제주,201710,144630014108.4,4372255.8
제주,201702,113796088175.15,3423189.55
제주,201705,148224103444.43,4541714.32
충남,201803,267832519791.2,11133660.3
충남,201711,255626192388.52,10713871.88
충북,201709,241437684055.75,10450722.1
강원,201711,224012595948.45,8550161.37
강원,201710,273798237298.74,10246115.88
강원,201708,303091886931.62,11129592.36
강원,201709,238996511641.38,9377814.54
강원,201702,199124736195.6,7186427.37
강원,201806,260502892646.43,9935439.73
강원,201704,224882600446.8,8790754.05
강원,201804,243993916581.54,9373776.08
경기,201802,1640802725013.6,71024920.2
경기,201704,1812740952041.22,84450271.96
경기,201712,2083106959900.56,85698224.44
경기,201807,2065342209189.6,93365648.64
경기,201706,1852123122461.91,86879826.69
경기,201705,1918646107479.92,88633954.36
경남,201708,358842442775.46,13143949.86
경남,201807,356102984478.4,13216451.65
경남,201711,316987801759.09,11263601.58
경남,201709,326108272023.0,11917508.4
경남,201803,333453829594.88,12011204.48
경남,201705,346015212500.66,12375701.7
경남,201710,332313342275.64,12043229.58
경남,201703,307514060592.48,10790403.12
경북,201710,258235213194.18,10206976.32
경북,201807,262979070615.47,10350117.7
경북,201702,192604113383.76,6829884.36
경북,201708,262953331021.95,10161130.25
경북,201802,205023459675.4,7644094.44
경북,201705,248911572820.59,9669784.29
광주,201701,150029714148.85,5587488.44
광주,201707,175042499654.42,6968814.0
광주,201712,194097282137.46,6933180.07
대구,201708,245676227070.34,10564563.3
대구,201712,271571595304.82,10280416.48
대구,201808,247571738020.63,10734896.07
대구,201805,255679035603.8,10792291.18
대전,201805,235241189778.6,10928446.72
대전,201711,225059440550.67,10203719.8
대전,201804,221292741016.68,10451813.6
대전,201707,234447485427.9,10667439.45
대전,201704,221562502448.0,10430673.4
부산,201804,404041036327.66,16706015.37
부산,201808,446732264615.1,18438921.9
