업소명,소재지(도로명),소재지(지번),소재지전화
유명통닭,충청남도 천안시 동남구 풍세로 934-1 (청수동),충청남도 천안시 동남구 청수동 231-8 , 041- 563-3655
태정버섯매운탕,"충청남도 천안시 동남구 동리길 22, 1층 (오룡동)",충청남도 천안시 동남구 오룡동 123-10 1층 , 041- 565-1159
평양냉면,,충청남도 천안시 동남구 사직동 168 ,0041-0551-4851
청화집순대,"충청남도 천안시 동남구 병천면 충절로 1749, 1층",충청남도 천안시 동남구 병천면 병천리 167-6 1층 ,041 -564 -1558
정난네식당,충청남도 천안시 동남구 문화로 20 (문화동),충청남도 천안시 동남구 문화동 29-1 ,
명문야식식당,충청남도 천안시 동남구 봉정로 2 (봉명동),충청남도 천안시 동남구 봉명동 32-3 ,
은조집,,충청남도 천안시 동남구 문화동 55 , 041- 551-8175
늘봄식당,충청남도 천안시 동남구 대흥로 237-2 (대흥동),충청남도 천안시 동남구 대흥동 57-42 ,
장수순대,충청남도 천안시 동남구 큰시장길 45 (영성동),충청남도 천안시 동남구 영성동 56-7 ,0041-0551-3991
원조옥수사,"충청남도 천안시 동남구 영성로 25-3, C동 1층 28호 (사직동)",충청남도 천안시 동남구 사직동 181-3 C동 1층 28호 ,041 -551 -1202
서산식당,충청남도 천안시 동남구 광덕면 신흥리3길 26,충청남도 천안시 동남구 광덕면 신흥리 316-2 ,
삼성집,충청남도 천안시 동남구 공설시장2길 9 (대흥동),충청남도 천안시 동남구 대흥동 70-11 ,
할범탕수육컵밥,충청남도 천안시 동남구 대흥로 231-1 (대흥동),충청남도 천안시 동남구 대흥동 57-63 ,0041- 562-9545
제일식당,충청남도 천안시 동남구 풍세면 풍년길 38,충청남도 천안시 동남구 풍세면 풍서리 676-66 ,041 -566 -7016
옛김포식당,,충청남도 천안시 동남구 사직동 181-3 ,0041-0554-9886
옥수사,충청남도 천안시 동남구 광교로 16 (구성동),충청남도 천안시 동남구 구성동 293-54 ,0041-0565-3151
대원식당,충청남도 천안시 동남구 문화로 8 (대흥동),충청남도 천안시 동남구 대흥동 17-6 ,
대한민국,"충청남도 천안시 동남구 중앙로 86, 1층 (오룡동)",충청남도 천안시 동남구 오룡동 52-21 1층 , 041- 551-2239
사계절치킨호프,"충청남도 천안시 동남구 수신면 속창1길 1-6, 1층",충청남도 천안시 동남구 수신면 속창리 236-7 1층 ,
모아모아셀프밥상,"충청남도 천안시 동남구 통정1로 27-2 (신방동,,1층)","충청남도 천안시 동남구 신방동 1111 ,1층 ",041 -575 -5225
개미식당,,충청남도 천안시 동남구 사직동 13-1 ,
제일왕족발,"충청남도 천안시 동남구 신용로 21, 1층 (다가동)",충청남도 천안시 동남구 다가동 353-15 1층 ,0041-0573-2946
신명식당,충청남도 천안시 동남구 영성로 83 (오룡동),충청남도 천안시 동남구 오룡동 169-2 , 041-551 -5656
조은호프,"충청남도 천안시 동남구 충절로 246, 1층 (구성동)",충청남도 천안시 동남구 구성동 480-7 ,
길목,"충청남도 천안시 동남구 서부대로 276, B동 1층 (신방동)",충청남도 천안시 동남구 신방동 886 B동 1층 , 041- 562-4694
화강식당,,충청남도 천안시 동남구 봉명동 19-3 ,
콩밭집,충청남도 천안시 동남구 양지말1길 8 (유량동),충청남도 천안시 동남구 유량동 143-4 ,041 -621 -1544
돈가스다,충청남도 천안시 동남구 은행길 10 (대흥동),충청남도 천안시 동남구 대흥동 102-5 , 041- 551-6166
북경반점,"충청남도 천안시 동남구 병천면 아우내순대길 74, 1층",충청남도 천안시 동남구 병천면 병천리 111 외1필지 1층 , 041- 564-1088
순수치킨,충청남도 천안시 동남구 은행길 7 (대흥동),충청남도 천안시 동남구 대흥동 101-7 ,041 -565 -3932
코리아,충청남도 천안시 동남구 봉정로 2 (봉명동),충청남도 천안시 동남구 봉명동 32-3 ,0041-0578-9285
능수옛주막,충청남도 천안시 동남구 충절로 407 (삼룡동),충청남도 천안시 동남구 삼룡동 209-5 ,
북경반점,충청남도 천안시 동남구 충절로 139 (원성동),충청남도 천안시 동남구 원성동 505-21 , 041- 551-3832
천풍식당,충청남도 천안시 동남구 풍세면 풍세로 444,충청남도 천안시 동남구 풍세면 남관리 751 ,
달비골민속주점,충청남도 천안시 동남구 중앙로 264 (신부동),충청남도 천안시 동남구 신부동 324-2 ,0041-0551-4747
석탑바베큐,충청남도 천안시 동남구 자유시장1길 11 (문화동),충청남도 천안시 동남구 문화동 38-15 ,
삐약이이모네,충청남도 천안시 동남구 수선정길 26 (영성동),충청남도 천안시 동남구 영성동 53-38 ,
또와요병천순대,충청남도 천안시 동남구 충절로 259 (구성동),충청남도 천안시 동남구 구성동 467-11 ,0041-0556-4368
자갈매운탕집,충청남도 천안시 동남구 공설시장1길 18-1 (대흥동),충청남도 천안시 동남구 대흥동 17-2 ,
길목치킨,충청남도 천안시 동남구 공설시장2길 18 (문화동),충청남도 천안시 동남구 문화동 57-2 ,
진홍,,충청남도 천안시 동남구 사직동 337-4 ,
바위고개,충청남도 천안시 동남구 대흥로 98 (영성동),충청남도 천안시 동남구 영성동 116 ,
광덕식당,충청남도 천안시 동남구 광덕면 신흥리3길 19,충청남도 천안시 동남구 광덕면 신흥리 309-3 ,
새천안돌솥밥,충청남도 천안시 동남구 문화로 10 (대흥동),충청남도 천안시 동남구 대흥동 17-4 ,0041-0563-8855
명사순대,충청남도 천안시 동남구 봉정로 30 (봉명동),충청남도 천안시 동남구 봉명동 39-15 ,
대명가든,충청남도 천안시 동남구 구성12길 9 (구성동),충청남도 천안시 동남구 구성동 472-2 , 041- 563-1234
천구향수식점,충청남도 천안시 동남구 사직2길 20 (사직동),충청남도 천안시 동남구 사직동 284-6 , 041- 565-3412
정든집,충청남도 천안시 동남구 광덕면 신흥리4길 39,충청남도 천안시 동남구 광덕면 신흥리 300-6 ,
투다리단국대점,"충청남도 천안시 동남구 단대로 115, 1층 (신부동)",충청남도 천안시 동남구 신부동 240 1층 ,041 -904 -1002
