업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,공주집,"충청남도 천안시 서북구 성환읍 송덕2길 113, 1층",충청남도 천안시 서북구 성환읍 송덕리 54 ,,한식
일반음식점,수향고을,"충청남도 천안시 서북구 성환읍 신향촌길 21, 수향고을",충청남도 천안시 서북구 성환읍 수향리 20-61 수향고을 ,    - 581-5077,호프/통닭
일반음식점,보담밥상,"충청남도 천안시 서북구 입장면 입장시장3길 8-3, 1층",충청남도 천안시 서북구 입장면 하장리 44-43 ,    - 584-5848,한식
일반음식점,성환정,충청남도 천안시 서북구 성환읍 성환11길 12,충청남도 천안시 서북구 성환읍 성환리 449-28 ,,한식
일반음식점,동순원,충청남도 천안시 서북구 성환읍 성환중앙로 33,충청남도 천안시 서북구 성환읍 성환리 449 , 041- 581-2070,중국식
일반음식점,우리집뼈찜,충청남도 천안시 서북구 성환읍 신선동길 20,충청남도 천안시 서북구 성환읍 매주리 318-2 ,041 -581 -2088,한식
일반음식점,대호정통식당,,충청남도 천안시 서북구 성환읍 성환리 449 ,,한식
일반음식점,대성식당,충청남도 천안시 서북구 성환읍 성환2로 105,충청남도 천안시 서북구 성환읍 성환리 372-1 ,,한식
일반음식점,제일분식,,충청남도 천안시 서북구 성환읍 성환리 449 , 041- 581-4210,분식
일반음식점,왁자지껄,충청남도 천안시 서북구 성환읍 성환11길 47,충청남도 천안시 서북구 성환읍 성환리 392-20 ,,호프/통닭
일반음식점,진주회관본관,"충청남도 천안시 서북구 성환읍 성환11길 15, 1층",충청남도 천안시 서북구 성환읍 성환리 449-175 ,0041- 581-2065,한식
일반음식점,김밥나라,충청남도 천안시 서북구 입장면 하장4길 1,충청남도 천안시 서북구 입장면 하장리 61-1 ,,한식
일반음식점,놀부네메밀밭숯불갈비,충청남도 천안시 서북구 부성4길 16 (두정동),충청남도 천안시 서북구 두정동 976-1 ,,식육(숯불구이)
일반음식점,배불뚝곱창,"충청남도 천안시 서북구 입장면 하장3길 15, 1층",충청남도 천안시 서북구 입장면 하장리 49 , 041- 584-5935,한식
일반음식점,소소한행복,충청남도 천안시 서북구 성환읍 성환11길 33-7,충청남도 천안시 서북구 성환읍 성환리 370-2 ,,호프/통닭
일반음식점,곱꾸,"충청남도 천안시 서북구 성거읍 천흥3길 4, 1층",충청남도 천안시 서북구 성거읍 천흥리 435-8 ,041 -622 -0315,한식
일반음식점,토크쇼,충청남도 천안시 서북구 성정로 108 (성정동),충청남도 천안시 서북구 성정동 193-22 , 041- 579-1762,호프/통닭
일반음식점,구안성식당,충청남도 천안시 서북구 성거읍 석교2길 4,충청남도 천안시 서북구 성거읍 석교리 57 ,,한식
일반음식점,스모프치킨,,충청남도 천안시 서북구 입장면 하장리 48 ,,통닭(치킨)
일반음식점,경주관,충청남도 천안시 서북구 성환읍 성환중앙로 25-5,충청남도 천안시 서북구 성환읍 성환리 449-219 ,,한식
일반음식점,서울식당,,충청남도 천안시 서북구 직산읍 수헐리 76 ,,한식
일반음식점,산마백숙가든,충청남도 천안시 서북구 성환읍 연암율금로 435-11,충청남도 천안시 서북구 성환읍 매주리 332-55 ,,한식
일반음식점,개울가마을회관뒷집,"충청남도 천안시 서북구 성거읍 모시울2길 4, 1층",충청남도 천안시 서북구 성거읍 저리 259-1 외갓집 ,041 -523 -1717,한식
일반음식점,깐깐한족발,,충청남도 천안시 서북구 성환읍 성환리 279-12 ,041 -588 -4545,한식
일반음식점,화화돼지왕갈비,,충청남도 천안시 서북구 성환읍 성환리 449 ,,한식
일반음식점,페리카나양념통닭,충청남도 천안시 서북구 직산읍 봉주로 23,충청남도 천안시 서북구 직산읍 삼은리 76-177 ,041 -583 -2077,통닭(치킨)
일반음식점,굴비체머무르다,"충청남도 천안시 서북구 성환읍 성환2로 140, 1층",충청남도 천안시 서북구 성환읍 성환리 280-3 중앙원조굴뚝배기전문점 ,041 -581 -7898,한식
일반음식점,토박이양꼬치,충청남도 천안시 서북구 성환읍 성환1로 229-4,충청남도 천안시 서북구 성환읍 성환리 449-319 ,,식육(숯불구이)
일반음식점,토정삼계탕,충청남도 천안시 서북구 성정중2길 30 (성정동),충청남도 천안시 서북구 성정동 1154 ,041 -554 -3223,한식
일반음식점,은행나무집,"충청남도 천안시 서북구 백석로 85-1, 1층 (백석동)",충청남도 천안시 서북구 백석동 147-1 ,041 -592 -9252,한식
일반음식점,대왕매실갈비,"충청남도 천안시 서북구 직산읍 아랫말1길 8, 1층",충청남도 천안시 서북구 직산읍 삼은리 76-245 외 2필지 ,0041-0584-2923,식육(숯불구이)
일반음식점,향미원,충청남도 천안시 서북구 성환읍 성환11길 32,충청남도 천안시 서북구 성환읍 성환리 353-3 ,041 -581 -2161,중국식
일반음식점,수목원삼계탕,충청남도 천안시 서북구 성환읍 성환13길 4-1,충청남도 천안시 서북구 성환읍 성환리 274-11 ,041 -582 -8255,한식
일반음식점,명성각,"충청남도 천안시 서북구 성환읍 성환2로 133, 1층",충청남도 천안시 서북구 성환읍 성환리 279-12 명성각 , 041- 581-1177,중국식
일반음식점,처갓집양념치킨성환점,충청남도 천안시 서북구 성환읍 성환중앙로 47,충청남도 천안시 서북구 성환읍 성환리 349-4 ,,호프/통닭
일반음식점,동막골,충청남도 천안시 서북구 성환읍 성환중앙로 24-1,충청남도 천안시 서북구 성환읍 성환리 355-8 ,,패스트푸드
일반음식점,대천식당,충청남도 천안시 서북구 성정로 105 (성정동),충청남도 천안시 서북구 성정동 193-2 ,0041-0575-9630,한식
일반음식점,육장갈비,충청남도 천안시 서북구 서부6길 40 (성정동),충청남도 천안시 서북구 성정동 660-1 ,0041-0575-0304,한식
일반음식점,깡통구이마을,충청남도 천안시 서북구 직산읍 아랫말1길 17,충청남도 천안시 서북구 직산읍 삼은리 76-218 ,    - 583-7900,한식
일반음식점,마산아구찜,충청남도 천안시 서북구 성환읍 성환중앙로 21,충청남도 천안시 서북구 성환읍 성환리 449-54 ,0041-0581-7656,한식
일반음식점,통영바다장어구이,충청남도 천안시 서북구 입장면 입장시장3길 7,충청남도 천안시 서북구 입장면 하장리 38-3 ,,한식
