날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2831,108,14,8,21
2832,108,16,8,22
2833,108,16,13,21
2834,108,17,11,22
2835,108,18,11,25
2836,108,13,11,21
2837,108,11,6,16
2838,108,9,4,15
2839,108,12,4,21
2840,108,14,6,24
2841,108,15,10,20
2842,108,14,11,17
2843,108,14,8,21
2844,108,13,6,21
2845,108,13,6,21
2846,108,14,8,20
2847,108,16,10,22
2848,108,14,10,21
2849,108,14,7,21
2850,108,18,12,23
2851,108,15,11,20
2852,108,15,12,20
2853,108,13,8,16
2854,108,10,3,17
2855,108,13,6,19
2856,108,12,7,18
2857,108,14,8,21
2858,108,14,8,20
2859,108,14,11,20
2860,108,12,7,20
2861,108,13,5,20
2862,108,16,12,21
2863,108,14,9,21
2864,108,6,2,11
2865,108,6,1,14
2866,108,9,2,17
2867,108,10,4,18
2868,108,6,0,12
2869,108,4,1,9
2870,108,7,1,12
2871,108,8,2,13
2872,108,10,8,13
2873,108,10,5,15
2874,108,10,4,16
2875,108,10,5,15
2876,108,11,4,18
2877,108,12,10,13
2878,108,7,1,12
2879,108,1,3,7
2880,108,0,3,4
2881,108,3,1,7
2882,108,2,4,6
2883,108,9,3,11
2884,108,8,6,10
2885,108,1,5,6
2886,108,5,7,1
2887,108,1,6,2
2888,108,1,6,2
2889,108,3,9,2
2890,108,0,5,3
2891,108,7,9,2
2892,108,5,11,1
2893,108,3,9,3
2894,108,2,3,6
2895,108,1,3,1
2896,108,1,7,3
2897,108,1,6,6
2898,108,4,9,2
2899,108,1,7,7
2900,108,3,4,8
2901,108,1,5,4
2902,108,2,7,1
2903,108,0,3,4
2904,108,4,4,9
2905,108,6,10,6
2906,108,8,12,5
2907,108,7,12,2
2908,108,7,13,2
2909,108,6,12,0
2910,108,7,12,0
2911,108,3,8,2
2912,108,12,15,8
2913,108,13,18,10
2914,108,13,20,9
2915,108,3,10,1
2916,108,4,1,7
2917,108,3,2,6
2918,108,4,6,1
2919,108,5,10,2
2920,108,9,14,4
2921,108,9,14,6
2922,108,4,7,2
2923,108,6,9,1
2924,108,8,14,3
2925,108,6,11,3
2926,108,8,13,2
2927,108,5,11,0
2928,108,1,5,3
2929,108,4,7,1
2930,108,6,10,1
2931,108,3,9,2
2932,108,0,5,3
2933,108,2,1,5
2934,108,2,1,5
2935,108,1,4,5
2936,108,3,7,0
2937,108,2,5,1
2938,108,9,11,5
2939,108,7,11,4
2940,108,1,4,3
2941,108,2,1,3
2942,108,1,7,2
2943,108,9,11,6
2944,108,10,14,5
2945,108,7,13,3
2946,108,2,5,0
2947,108,1,2,0
2948,108,4,6,1
2949,108,4,10,0
2950,108,6,11,1
2951,108,4,11,1
2952,108,1,2,1
2953,108,1,2,6
2954,108,2,6,2
2955,108,3,8,0
2956,108,8,11,5
2957,108,7,10,4
2958,108,9,12,6
2959,108,10,13,6
2960,108,10,16,4
2961,108,5,11,1
2962,108,8,11,4
2963,108,7,11,3
2964,108,6,10,3
2965,108,7,12,1
2966,108,5,12,1
2967,108,3,8,2
2968,108,4,10,2
2969,108,5,9,1
2970,108,8,13,2
2971,108,6,13,0
2972,108,3,11,6
2973,108,1,8,7
2974,108,0,5,5
2975,108,0,4,5
2976,108,3,6,3
2977,108,4,8,2
2978,108,4,9,1
2979,108,2,8,4
2980,108,2,6,8
2981,108,5,3,6
2982,108,5,4,6
2983,108,1,5,4
2984,108,4,7,0
2985,108,2,3,5
2986,108,2,1,4
2987,108,3,0,8
2988,108,3,1,8
2989,108,1,2,2
2990,108,2,5,2
2991,108,1,4,2
2992,108,1,2,2
2993,108,2,5,2
2994,108,2,5,3
2995,108,1,6,4
2996,108,0,5,7
2997,108,5,2,12
2998,108,6,1,14
2999,108,9,4,16
3000,108,5,1,11
3001,108,2,1,8
3002,108,0,4,4
3003,108,1,2,6
3004,108,3,5,13
3005,108,8,0,17
3006,108,8,3,15
3007,108,5,0,11
3008,108,3,2,7
3009,108,1,6,8
3010,108,8,2,16
3011,108,13,7,18
3012,108,8,5,11
3013,108,7,0,13
3014,108,9,5,15
3015,108,8,4,15
3016,108,8,4,11
3017,108,11,8,15
3018,108,7,7,10
3019,108,7,5,11
3020,108,7,1,14
3021,108,10,5,17
3022,108,11,5,17
3023,108,11,7,17
3024,108,10,7,14
3025,108,9,7,9
3026,108,8,3,14
3027,108,7,0,15
3028,108,9,1,19
3029,108,8,4,14
3030,108,10,2,19
3031,108,11,2,20
3032,108,12,3,23
3033,108,14,5,23
3034,108,14,11,17
3035,108,14,10,21
3036,108,14,5,22
